1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.499999999999999833e-02,4.499999999999999833e-02,1.000000000000000000e+00,1.250000000000000278e-01,1.250000000000000278e-01
1.000000000000000000e+00,9.000000000000000000e+01,0.000000000000000000e+00,2.175000000000001099e-01,1.950000000000001177e-01,1.000000000000000000e+00,1.725000000000000977e-01,1.100000000000000838e-01
1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.525000000000000799e-01,9.000000000000006606e-02,0.000000000000000000e+00,7.749999999999999944e-02,5.500000000000000028e-02
1.000000000000000000e+00,9.000000000000000000e+01,1.000000000000000000e+00,3.125000000000002220e-01,2.050000000000001821e-01,0.000000000000000000e+00,1.000000000000000333e-01,5.000000000000003053e-02
1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.200000000000000372e-01,1.200000000000000372e-01,3.000000000000000000e+00,6.999999999999999278e-02,6.999999999999999278e-02
1.000000000000000000e+00,9.000000000000000000e+01,2.000000000000000000e+00,2.800000000000001932e-01,2.200000000000001676e-01,3.000000000000000000e+00,6.999999999999999278e-02,3.499999999999999639e-02
1.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,6.499999999999998834e-02,2.999999999999999195e-02,2.000000000000000000e+00,1.400000000000000688e-01,8.000000000000004330e-02
1.000000000000000000e+00,9.000000000000000000e+01,3.000000000000000000e+00,2.100000000000001033e-01,1.600000000000001144e-01,2.000000000000000000e+00,1.450000000000000733e-01,4.500000000000003997e-02
2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.250000000000000389e-02,6.000000000000000472e-02,1.000000000000000000e+00,1.725000000000000977e-01,1.100000000000000838e-01
2.000000000000000000e+00,9.000000000000000000e+01,0.000000000000000000e+00,2.187500000000001388e-01,1.100000000000000838e-01,1.000000000000000000e+00,1.862500000000001377e-01,1.000000000000000888e-01
2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.712500000000001243e-01,9.500000000000008438e-02,0.000000000000000000e+00,8.875000000000000944e-02,5.000000000000000971e-02
2.000000000000000000e+00,9.000000000000000000e+01,1.000000000000000000e+00,3.162500000000002531e-01,1.600000000000001421e-01,0.000000000000000000e+00,1.050000000000000516e-01,5.500000000000003497e-02
2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.350000000000000644e-01,7.500000000000003886e-02,3.000000000000000000e+00,8.000000000000000167e-02,4.500000000000000527e-02
2.000000000000000000e+00,9.000000000000000000e+01,2.000000000000000000e+00,2.800000000000001932e-01,1.400000000000000966e-01,3.000000000000000000e+00,8.000000000000000167e-02,4.500000000000000527e-02
2.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,7.749999999999998557e-02,4.499999999999999140e-02,2.000000000000000000e+00,1.350000000000000921e-01,6.500000000000005773e-02
2.000000000000000000e+00,9.000000000000000000e+01,3.000000000000000000e+00,2.050000000000001266e-01,1.000000000000000749e-01,2.000000000000000000e+00,1.375000000000000944e-01,6.500000000000005773e-02
